operator_id,missed_calls,total_incoming,avg_waiting,total_outgoing,missed_rate,ineficaz
879896.0,0.0,60.0,26.91304347826087,1071.0,0.0,False
879898.0,0.0,118.0,28.203125,7856.0,0.0,False
880020.0,0.0,8.0,7.25,46.0,0.0,True
880022.0,0.0,8.0,14.0,211.0,0.0,True
880026.0,0.0,25.0,7.894736842105263,2414.0,0.0,False
880028.0,0.0,70.0,8.844444444444445,2836.0,0.0,False
880240.0,0.0,,,49.0,,True
881278.0,0.0,,,20.0,,True
882476.0,0.0,3.0,31.666666666666668,0.0,0.0,True
882478.0,0.0,3.0,38.0,1.0,0.0,True
882680.0,3.0,109.0,37.108695652173914,0.0,0.027522935779816515,True
882684.0,4.0,643.0,191.73076923076923,721.0,0.006220839813374806,True
882686.0,5.0,837.0,169.94366197183098,3094.0,0.005973715651135006,True
882688.0,0.0,20.0,284.3333333333333,62.0,0.0,True
882690.0,2.0,176.0,299.8333333333333,1590.0,0.011363636363636364,True
883018.0,0.0,,,2.0,,True
883898.0,0.0,,,1.0,,True
883940.0,0.0,8.0,14.285714285714286,686.0,0.0,False
883942.0,0.0,99.0,15.571428571428571,2228.0,0.0,False
884294.0,0.0,1.0,6.0,0.0,0.0,True
884402.0,0.0,,,4.0,,True
884406.0,0.0,,,6.0,,True
884408.0,3.0,41.0,67.125,25.0,0.07317073170731707,True
884412.0,0.0,20.0,45.55555555555556,843.0,0.0,False
884478.0,0.0,25.0,24.642857142857142,2336.0,0.0,False
884524.0,0.0,3.0,10.333333333333334,0.0,0.0,True
884946.0,0.0,12.0,22.714285714285715,2030.0,0.0,False
885682.0,0.0,,,3.0,,True
885876.0,21.0,1152.0,101.94174757281553,64897.0,0.018229166666666668,True
885890.0,22.0,1363.0,120.33980582524272,64653.0,0.016140865737344093,True
886146.0,0.0,1.0,9.0,51.0,0.0,True
886674.0,0.0,14.0,17.545454545454547,0.0,0.0,True
886892.0,0.0,2.0,58.0,0.0,0.0,True
887276.0,3.0,458.0,173.45945945945945,963.0,0.006550218340611353,True
887278.0,0.0,54.0,35.73076923076923,274.0,0.0,True
887280.0,0.0,,,8.0,,True
887282.0,0.0,29.0,62.904761904761905,2423.0,0.0,True
887416.0,0.0,22.0,26.357142857142858,0.0,0.0,True
887802.0,0.0,20.0,32.25,125.0,0.0,True
887992.0,0.0,,,47.0,,True
888406.0,1.0,9.0,36.42857142857143,6.0,0.1111111111111111,True
888520.0,0.0,6.0,18.8,0.0,0.0,True
888532.0,2.0,12.0,32.111111111111114,206.0,0.16666666666666666,True
888534.0,2.0,61.0,48.77777777777778,337.0,0.03278688524590164,True
888536.0,0.0,2.0,21.5,58.0,0.0,True
888538.0,0.0,1.0,24.0,6.0,0.0,True
888540.0,0.0,3.0,19.666666666666668,17.0,0.0,True
888868.0,1.0,23.0,30.533333333333335,54.0,0.043478260869565216,True
889410.0,0.0,464.0,34.093023255813954,1104.0,0.0,False
889638.0,0.0,4.0,19.333333333333332,0.0,0.0,True
889640.0,0.0,2.0,13.5,0.0,0.0,True
889754.0,2.0,511.0,53.60526315789474,1342.0,0.003913894324853229,False
890226.0,0.0,4.0,22.5,3.0,0.0,True
890228.0,1.0,6.0,17.333333333333332,103.0,0.16666666666666666,True
890232.0,0.0,,,39.0,,True
890234.0,0.0,,,1.0,,True
890402.0,0.0,548.0,76.12,1380.0,0.0,True
890404.0,2.0,582.0,71.01149425287356,1484.0,0.003436426116838488,True
890406.0,5.0,474.0,52.904761904761905,1347.0,0.010548523206751054,False
890410.0,0.0,16.0,36.0,1353.0,0.0,False
890412.0,0.0,29.0,55.888888888888886,1344.0,0.0,False
890416.0,0.0,,,1380.0,,False
890420.0,0.0,,,746.0,,False
890422.0,0.0,,,487.0,,True
890582.0,1.0,114.0,33.29545454545455,67.0,0.008771929824561403,True
890618.0,1.0,78.0,2.6176470588235294,279.0,0.01282051282051282,True
891152.0,0.0,,,286.0,,True
891154.0,0.0,,,603.0,,True
891156.0,0.0,,,24.0,,True
891158.0,0.0,,,305.0,,True
891160.0,0.0,,,426.0,,True
891162.0,0.0,,,114.0,,True
891166.0,0.0,,,275.0,,True
891170.0,0.0,,,219.0,,True
891192.0,0.0,,,1.0,,True
891250.0,0.0,,,2.0,,True
891252.0,0.0,,,98.0,,True
891254.0,0.0,2.0,26.0,0.0,0.0,True
891410.0,2.0,742.0,123.44303797468355,3031.0,0.0026954177897574125,True
891414.0,1.0,528.0,96.47692307692307,2846.0,0.001893939393939394,True
891416.0,0.0,152.0,45.705882352941174,814.0,0.0,False
891646.0,0.0,8.0,23.428571428571427,0.0,0.0,True
891744.0,0.0,5.0,26.75,9.0,0.0,True
891746.0,0.0,,,37.0,,True
891824.0,0.0,12.0,27.857142857142858,34.0,0.0,True
891900.0,0.0,36.0,70.42105263157895,0.0,0.0,True
891906.0,0.0,77.0,61.90909090909091,0.0,0.0,True
891908.0,0.0,40.0,14.678571428571429,11.0,0.0,True
891918.0,0.0,7.0,31.857142857142858,1.0,0.0,True
891946.0,0.0,17.0,24.571428571428573,35.0,0.0,True
891948.0,0.0,1.0,3.0,0.0,0.0,True
891970.0,0.0,,,21.0,,True
891976.0,0.0,,,2.0,,True
891988.0,0.0,441.0,59.98529411764706,503.0,0.0,True
892028.0,0.0,,,1554.0,,False
892530.0,0.0,11.0,45.25,10.0,0.0,True
892532.0,0.0,74.0,65.63636363636364,102.0,0.0,True
892534.0,0.0,35.0,129.44444444444446,11.0,0.0,True
892536.0,0.0,17.0,51.416666666666664,17.0,0.0,True
892538.0,0.0,12.0,52.42857142857143,123.0,0.0,True
892798.0,0.0,1.0,43.0,36.0,0.0,True
892800.0,0.0,,,10.0,,True
893172.0,0.0,43.0,36.851851851851855,3.0,0.0,True
893400.0,0.0,3.0,23.333333333333332,3.0,0.0,True
893402.0,3.0,368.0,65.6043956043956,56.0,0.008152173913043478,True
893420.0,1.0,209.0,82.16981132075472,36.0,0.004784688995215311,True
893674.0,0.0,,,2701.0,,False
893700.0,0.0,,,8.0,,True
893804.0,11.0,2632.0,116.39655172413794,3938.0,0.004179331306990881,True
894120.0,1.0,24.0,44.81818181818182,0.0,0.041666666666666664,True
894224.0,1.0,17.0,12.153846153846153,33.0,0.058823529411764705,True
894226.0,0.0,,,25.0,,True
894230.0,1.0,6.0,31.666666666666668,15.0,0.16666666666666666,True
894232.0,1.0,5.0,14.0,16.0,0.2,True
894614.0,1.0,8.0,19.166666666666668,0.0,0.125,True
894656.0,0.0,20.0,32.2,3396.0,0.0,False
894662.0,0.0,1.0,9.0,48.0,0.0,True
894934.0,0.0,,,20.0,,True
895140.0,0.0,4.0,76.0,0.0,0.0,True
895170.0,0.0,11.0,16.1,0.0,0.0,True
895172.0,0.0,9.0,15.0,86.0,0.0,True
895266.0,0.0,3.0,12.333333333333334,1.0,0.0,True
895370.0,0.0,,,10.0,,True
895574.0,1.0,99.0,30.714285714285715,0.0,0.010101010101010102,True
895576.0,1.0,80.0,30.717391304347824,0.0,0.0125,True
895578.0,0.0,64.0,23.375,0.0,0.0,True
895598.0,0.0,3.0,9.0,2.0,0.0,True
895774.0,0.0,13.0,23.666666666666668,118.0,0.0,True
895776.0,1.0,12.0,17.5,252.0,0.08333333333333333,True
895782.0,0.0,14.0,31.77777777777778,0.0,0.0,True
895786.0,0.0,46.0,59.8235294117647,0.0,0.0,True
896008.0,0.0,,,202.0,,True
896010.0,0.0,10.0,26.571428571428573,5.0,0.0,True
896012.0,1.0,270.0,24.044776119402986,0.0,0.003703703703703704,True
896014.0,0.0,19.0,18.266666666666666,9.0,0.0,True
896016.0,0.0,83.0,18.705882352941178,294.0,0.0,True
896018.0,0.0,9.0,27.444444444444443,11.0,0.0,True
896020.0,0.0,16.0,5.0,0.0,0.0,True
896382.0,0.0,41.0,36.07142857142857,396.0,0.0,True
896384.0,0.0,,,30.0,,True
896386.0,0.0,,,76.0,,True
896390.0,0.0,,,97.0,,True
896428.0,0.0,38.0,26.636363636363637,221.0,0.0,True
896430.0,0.0,1.0,13.0,18.0,0.0,True
896536.0,2.0,208.0,57.44736842105263,0.0,0.009615384615384616,True
896538.0,1.0,14.0,60.45454545454545,0.0,0.07142857142857142,True
896708.0,0.0,66.0,72.0,174.0,0.0,True
897030.0,0.0,6.0,15.2,76.0,0.0,True
897872.0,1.0,4.0,20.5,53.0,0.25,True
897894.0,0.0,,,19.0,,True
898414.0,1.0,32.0,83.5,59.0,0.03125,True
898422.0,1.0,65.0,42.90909090909091,36.0,0.015384615384615385,True
898434.0,0.0,,,10.0,,True
898558.0,0.0,23.0,50.38461538461539,0.0,0.0,True
898560.0,0.0,21.0,67.4,0.0,0.0,True
898676.0,0.0,3.0,8.333333333333334,0.0,0.0,True
898892.0,0.0,12.0,19.9,90.0,0.0,True
898902.0,0.0,,,22.0,,True
898906.0,0.0,20.0,46.6,127.0,0.0,True
898920.0,0.0,13.0,97.0,66.0,0.0,True
899076.0,0.0,,,2.0,,True
899082.0,1.0,713.0,196.98648648648648,1659.0,0.001402524544179523,True
899250.0,5.0,309.0,55.766666666666666,1670.0,0.016181229773462782,True
899268.0,2.0,32.0,26.64,0.0,0.0625,True
899788.0,0.0,,,655.0,,False
899790.0,0.0,,,731.0,,False
899892.0,0.0,3.0,31.666666666666668,0.0,0.0,True
899898.0,0.0,2.0,25.0,0.0,0.0,True
899900.0,0.0,3.0,62.333333333333336,0.0,0.0,True
899906.0,0.0,1.0,19.0,0.0,0.0,True
899912.0,0.0,1.0,19.0,0.0,0.0,True
899932.0,0.0,,,779.0,,False
899964.0,0.0,,,470.0,,True
899968.0,0.0,,,407.0,,True
899972.0,0.0,,,195.0,,True
900180.0,0.0,17.0,46.333333333333336,1887.0,0.0,False
900192.0,0.0,2.0,5.0,1.0,0.0,True
900194.0,3.0,61.0,32.5609756097561,49.0,0.04918032786885246,True
900352.0,1.0,210.0,59.049180327868854,348.0,0.004761904761904762,True
900354.0,3.0,174.0,56.58490566037736,534.0,0.017241379310344827,True
900458.0,0.0,1.0,9.0,28.0,0.0,True
900492.0,1.0,18.0,16.375,258.0,0.05555555555555555,True
900592.0,0.0,285.0,44.69767441860465,121.0,0.0,True
900594.0,0.0,35.0,17.857142857142858,215.0,0.0,True
900614.0,0.0,26.0,19.142857142857142,40.0,0.0,True
900742.0,0.0,24.0,31.8,18.0,0.0,True
900746.0,2.0,26.0,55.54545454545455,51.0,0.07692307692307693,True
900788.0,1.0,131.0,19.0,93.0,0.007633587786259542,True
900790.0,0.0,44.0,46.375,61.0,0.0,True
900792.0,0.0,1.0,34.0,8.0,0.0,True
900826.0,0.0,99.0,21.18,549.0,0.0,True
900892.0,3.0,358.0,26.29032258064516,1023.0,0.008379888268156424,False
900894.0,1.0,114.0,29.543478260869566,228.0,0.008771929824561403,True
901034.0,0.0,13.0,15.9,12.0,0.0,True
901038.0,0.0,5.0,28.5,33.0,0.0,True
901178.0,0.0,329.0,89.0,29.0,0.0,True
901350.0,0.0,111.0,76.72222222222223,0.0,0.0,True
901492.0,0.0,39.0,31.366666666666667,3.0,0.0,True
901498.0,0.0,5.0,66.25,0.0,0.0,True
901584.0,0.0,125.0,14.42,189.0,0.0,True
901586.0,0.0,44.0,12.214285714285714,96.0,0.0,True
901588.0,0.0,31.0,8.571428571428571,60.0,0.0,True
901734.0,0.0,30.0,30.428571428571427,0.0,0.0,True
901880.0,10.0,2064.0,88.99173553719008,2591.0,0.0048449612403100775,True
901884.0,1.0,614.0,81.03921568627452,2232.0,0.0016286644951140066,True
901886.0,0.0,150.0,54.339622641509436,1636.0,0.0,False
901894.0,0.0,30.0,82.44444444444444,0.0,0.0,True
901992.0,0.0,13.0,13.0,817.0,0.0,False
901996.0,0.0,3.0,43.0,26.0,0.0,True
902238.0,0.0,1.0,8.0,1.0,0.0,True
902510.0,2.0,137.0,159.32142857142858,1980.0,0.014598540145985401,True
902532.0,1.0,277.0,121.05405405405405,939.0,0.0036101083032490976,True
902608.0,0.0,14.0,23.5,219.0,0.0,True
902720.0,0.0,105.0,47.30555555555556,2617.0,0.0,False
902742.0,0.0,,,1232.0,,False
902744.0,0.0,,,3457.0,,False
902746.0,0.0,,,2748.0,,False
902748.0,0.0,,,2831.0,,False
902774.0,0.0,,,1126.0,,False
902776.0,0.0,,,1824.0,,False
902778.0,0.0,,,1327.0,,False
902782.0,0.0,,,1473.0,,False
902906.0,0.0,49.0,21.15,0.0,0.0,True
902910.0,1.0,31.0,37.18181818181818,0.0,0.03225806451612903,True
903254.0,0.0,262.0,59.093333333333334,1583.0,0.0,True
903292.0,0.0,43.0,67.33333333333333,303.0,0.0,True
903312.0,2.0,146.0,44.51724137931034,53.0,0.0136986301369863,True
903318.0,3.0,314.0,45.44444444444444,1332.0,0.009554140127388535,False
903390.0,0.0,9.0,20.285714285714285,0.0,0.0,True
903512.0,0.0,28.0,70.0,0.0,0.0,True
903974.0,0.0,11.0,61.666666666666664,0.0,0.0,True
903976.0,0.0,5.0,21.0,0.0,0.0,True
903978.0,0.0,8.0,38.0,10.0,0.0,True
904014.0,0.0,46.0,41.785714285714285,1429.0,0.0,False
904016.0,2.0,55.0,38.7037037037037,5120.0,0.03636363636363636,True
904038.0,2.0,498.0,52.45783132530121,231.0,0.004016064257028112,True
904044.0,1.0,117.0,47.06521739130435,27.0,0.008547008547008548,True
904058.0,0.0,19.0,18.294117647058822,0.0,0.0,True
904200.0,0.0,8.0,24.857142857142858,12.0,0.0,True
904202.0,0.0,9.0,12.857142857142858,246.0,0.0,True
904204.0,0.0,5.0,40.25,59.0,0.0,True
904284.0,0.0,49.0,24.870967741935484,0.0,0.0,True
904344.0,2.0,7.0,31.0,5.0,0.2857142857142857,True
904372.0,0.0,4.0,31.0,0.0,0.0,True
905082.0,0.0,4.0,34.0,0.0,0.0,True
905104.0,6.0,326.0,78.97183098591549,210.0,0.018404907975460124,True
905300.0,2.0,29.0,38.23529411764706,0.0,0.06896551724137931,True
905308.0,0.0,,,3.0,,True
905430.0,1.0,114.0,40.89473684210526,835.0,0.008771929824561403,False
905432.0,0.0,12.0,10.666666666666666,959.0,0.0,False
905470.0,0.0,,,3.0,,True
905472.0,0.0,2.0,21.0,9.0,0.0,True
905478.0,0.0,1.0,36.0,0.0,0.0,True
905480.0,0.0,,,1.0,,True
905538.0,2.0,264.0,77.88333333333334,3579.0,0.007575757575757576,True
905542.0,3.0,129.0,41.857142857142854,2173.0,0.023255813953488372,True
905564.0,1.0,58.0,44.75,758.0,0.017241379310344827,True
905566.0,2.0,47.0,30.653846153846153,910.0,0.0425531914893617,True
905570.0,0.0,,,102.0,,True
905574.0,0.0,5.0,13.0,474.0,0.0,True
905840.0,0.0,,,7.0,,True
905842.0,0.0,2.0,115.5,1251.0,0.0,True
905844.0,0.0,18.0,14.1875,1128.0,0.0,False
905862.0,3.0,112.0,30.238095238095237,1.0,0.026785714285714284,True
905870.0,0.0,151.0,54.6875,614.0,0.0,False
905930.0,0.0,80.0,13.86111111111111,407.0,0.0,True
905932.0,0.0,39.0,11.62962962962963,359.0,0.0,True
905934.0,0.0,1.0,9.0,21.0,0.0,True
906070.0,2.0,361.0,853.3125,89.0,0.00554016620498615,True
906076.0,0.0,24.0,611.5,1.0,0.0,True
906294.0,2.0,323.0,28.24074074074074,309.0,0.006191950464396285,True
906296.0,0.0,6.0,32.0,230.0,0.0,True
906392.0,2.0,19.0,31.875,61.0,0.10526315789473684,True
906394.0,0.0,41.0,52.34782608695652,575.0,0.0,True
906396.0,3.0,129.0,111.68571428571428,440.0,0.023255813953488372,True
906398.0,0.0,64.0,56.67857142857143,43.0,0.0,True
906400.0,5.0,144.0,91.55555555555556,462.0,0.034722222222222224,True
906402.0,0.0,7.0,54.0,17.0,0.0,True
906404.0,7.0,599.0,331.42,673.0,0.011686143572621035,True
906406.0,3.0,836.0,433.46153846153845,1213.0,0.0035885167464114833,True
906408.0,4.0,264.0,252.86666666666667,106.0,0.015151515151515152,True
906410.0,6.0,244.0,175.0,21.0,0.02459016393442623,True
906412.0,2.0,26.0,26.666666666666668,328.0,0.07692307692307693,True
906416.0,0.0,6.0,16.333333333333332,82.0,0.0,True
906418.0,0.0,5.0,18.25,4.0,0.0,True
906420.0,0.0,5.0,11.0,33.0,0.0,True
906680.0,2.0,215.0,124.140625,170.0,0.009302325581395349,True
906866.0,0.0,,,655.0,,False
907174.0,0.0,10.0,69.22222222222223,2863.0,0.0,True
907178.0,0.0,5.0,39.333333333333336,209.0,0.0,True
907180.0,0.0,,,87.0,,True
907182.0,0.0,72.0,20.18421052631579,267.0,0.0,True
907224.0,0.0,51.0,49.0,336.0,0.0,True
907440.0,0.0,6.0,23.833333333333332,191.0,0.0,True
907442.0,0.0,,,93.0,,True
907502.0,2.0,263.0,81.03076923076924,0.0,0.0076045627376425855,True
907504.0,0.0,5.0,27.25,25.0,0.0,True
907618.0,0.0,1.0,35.0,0.0,0.0,True
907952.0,2.0,51.0,29.083333333333332,194.0,0.0392156862745098,True
907964.0,0.0,19.0,22.0,62.0,0.0,True
907970.0,0.0,18.0,19.6875,172.0,0.0,True
907972.0,0.0,6.0,15.6,8.0,0.0,True
907974.0,0.0,3.0,9.666666666666666,0.0,0.0,True
907982.0,1.0,76.0,41.64102564102564,89.0,0.013157894736842105,True
907986.0,0.0,1.0,20.0,501.0,0.0,True
907994.0,0.0,42.0,26.551724137931036,122.0,0.0,True
907998.0,0.0,,,2.0,,True
908002.0,0.0,8.0,28.0,16.0,0.0,True
908078.0,0.0,46.0,23.78787878787879,69.0,0.0,True
908080.0,0.0,7.0,17.0,1.0,0.0,True
908082.0,0.0,31.0,15.0,20.0,0.0,True
908098.0,0.0,9.0,60.0,0.0,0.0,True
908130.0,0.0,3.0,28.333333333333332,0.0,0.0,True
908152.0,0.0,15.0,60.0,0.0,0.0,True
908162.0,0.0,3.0,79.5,0.0,0.0,True
908180.0,0.0,1.0,15.0,0.0,0.0,True
908300.0,0.0,5.0,93.66666666666667,0.0,0.0,True
908640.0,0.0,,,16699.0,,False
908718.0,0.0,,,3.0,,True
908834.0,0.0,23.0,195.25,2.0,0.0,True
908958.0,4.0,1010.0,278.11,132.0,0.0039603960396039604,True
908960.0,8.0,756.0,152.6206896551724,116.0,0.010582010582010581,True
908984.0,0.0,,,13.0,,True
909134.0,1.0,215.0,108.9,6.0,0.004651162790697674,True
909308.0,0.0,,,15.0,,True
909392.0,0.0,5.0,26.0,0.0,0.0,True
909452.0,0.0,,,8.0,,True
909502.0,0.0,,,865.0,,False
909624.0,0.0,3.0,50.5,0.0,0.0,True
909768.0,0.0,14.0,42.0,0.0,0.0,True
909892.0,0.0,4.0,14.0,4.0,0.0,True
909894.0,0.0,1.0,13.0,0.0,0.0,True
909896.0,0.0,1.0,9.0,0.0,0.0,True
909910.0,0.0,,,344.0,,True
910018.0,0.0,133.0,56.08771929824562,0.0,0.0,True
910038.0,0.0,2.0,15.0,0.0,0.0,True
